DiffTime,Value,Description
1.58333,0.023,B2t30min
1.58667,0.023,B2t30min
1.59,0.023,B2t30min
1.59333,0.023,B2t30min
1.59667,0.023,B2t30min
1.6,0.023,B2t30min
1.60333,0.023,B2t30min
1.60667,0.023,B2t30min
1.61,0.023,B2t30min
1.61333,0.023,B2t30min
1.61667,0.023,B2t30min
1.62,0.023,B2t30min
1.62333,0.023,B2t30min
1.62667,0.023,B2t30min
1.63,0.023,B2t30min
1.63333,0.023,B2t30min
1.63667,0.024,B2t30min
1.64,0.025,B2t30min
1.64333,0.025,B2t30min
1.64667,0.025,B2t30min
1.65,0.025,B2t30min
1.65333,0.025,B2t30min
1.65667,0.025,B2t30min
1.66,0.025,B2t30min
1.66333,0.025,B2t30min
1.66667,0.025,B2t30min
1.67,0.025,B2t30min
1.67333,0.025,B2t30min
1.67667,0.025,B2t30min
1.68,0.025,B2t30min
1.68333,0.025,B2t30min
1.68667,0.025,B2t30min
1.69,0.025,B2t30min
1.69333,0.025,B2t30min
1.69667,0.025,B2t30min
1.7,0.025,B2t30min
1.70333,0.025,B2t30min
1.70667,0.025,B2t30min
1.71,0.025,B2t30min
1.71333,0.025,B2t30min
1.71667,0.025,B2t30min
1.72,0.025,B2t30min
1.72333,0.025,B2t30min
1.72667,0.025,B2t30min
1.73,0.025,B2t30min
1.73333,0.025,B2t30min
1.73667,0.025,B2t30min
1.74,0.025,B2t30min
1.74333,0.025,B2t30min
1.74667,0.025,B2t30min
1.75,0.025,B2t30min
1.75333,0.025,B2t30min
1.75667,0.025,B2t30min
1.76,0.025,B2t30min
1.76333,0.025,B2t30min
1.76667,0.025,B2t30min
1.77,0.025,B2t30min
1.77333,0.025,B2t30min
1.77667,0.025,B2t30min
1.78,0.025,B2t30min
1.78333,0.025,B2t30min
1.78667,0.025,B2t30min
1.79,0.025,B2t30min
1.79333,0.025,B2t30min
1.79667,0.025,B2t30min
1.8,0.025,B2t30min
1.80333,0.025,B2t30min
1.80667,0.025,B2t30min
1.81,0.025,B2t30min
1.81333,0.025,B2t30min
1.81667,0.025,B2t30min
1.82,0.025,B2t30min
1.82333,0.025,B2t30min
1.82667,0.025,B2t30min
1.83,0.025,B2t30min
1.83333,0.025,B2t30min
1.83667,0.025,B2t30min
1.84,0.025,B2t30min
1.84333,0.025,B2t30min
1.84667,0.025,B2t30min
1.85,0.025,B2t30min
1.85333,0.025,B2t30min
1.85667,0.025,B2t30min
1.86,0.025,B2t30min
1.86333,0.025,B2t30min
1.86667,0.025,B2t30min
1.87,0.025,B2t30min
1.87333,0.025,B2t30min
1.87667,0.025,B2t30min
1.88,0.025,B2t30min
1.88333,0.025,B2t30min
1.88667,0.025,B2t30min
1.89,0.025,B2t30min
1.89333,0.025,B2t30min
1.89667,0.025,B2t30min
1.9,0.025,B2t30min
1.90333,0.025,B2t30min
1.90667,0.025,B2t30min
1.91,0.025,B2t30min
1.91333,0.025,B2t30min
1.91667,0.025,B2t30min
1.92,0.025,B2t30min
1.92333,0.025,B2t30min
1.92667,0.025,B2t30min
1.93,0.025,B2t30min
1.93333,0.025,B2t30min
1.93667,0.025,B2t30min
1.94,0.025,B2t30min
1.94333,0.025,B2t30min
1.94667,0.025,B2t30min
1.95,0.025,B2t30min
1.95333,0.025,B2t30min
1.95667,0.025,B2t30min
1.96,0.025,B2t30min
1.96333,0.025,B2t30min
1.96667,0.025,B2t30min
1.97,0.025,B2t30min
1.97333,0.025,B2t30min
1.97667,0.025,B2t30min
1.98,0.025,B2t30min
1.98333,0.025,B2t30min
1.98667,0.025,B2t30min
1.99,0.025,B2t30min
1.99333,0.025,B2t30min
1.99667,0.025,B2t30min
2,0.025,B2t30min
2.00333,0.025,B2t30min
2.00667,0.025,B2t30min
2.01,0.025,B2t30min
2.01333,0.025,B2t30min
2.01667,0.025,B2t30min
2.02,0.025,B2t30min
2.02333,0.025,B2t30min
2.02667,0.025,B2t30min
2.03,0.025,B2t30min
2.03333,0.025,B2t30min
2.03667,0.025,B2t30min
2.04,0.025,B2t30min
2.04333,0.025,B2t30min
2.04667,0.025,B2t30min
2.05,0.025,B2t30min
2.05333,0.025,B2t30min
2.05667,0.025,B2t30min
2.06,0.025,B2t30min
2.06333,0.025,B2t30min
2.06667,0.025,B2t30min
2.07,0.025,B2t30min
2.07333,0.025,B2t30min
2.07667,0.025,B2t30min
2.08,0.025,B2t30min
2.08333,0.025,B2t30min
2.08667,0.025,B2t30min
2.09,0.025,B2t30min
2.09333,0.025,B2t30min
2.09667,0.025,B2t30min
2.1,0.025,B2t30min
2.10333,0.025,B2t30min
2.10667,0.025,B2t30min
2.11,0.025,B2t30min
2.11333,0.025,B2t30min
2.11667,0.025,B2t30min
2.12,0.025,B2t30min
2.12333,0.025,B2t30min
2.12667,0.025,B2t30min
2.13,0.025,B2t30min
2.13333,0.025,B2t30min
2.13667,0.025,B2t30min
2.14,0.025,B2t30min
2.14333,0.025,B2t30min
2.14667,0.025,B2t30min
2.15,0.025,B2t30min
2.15333,0.025,B2t30min
2.15667,0.025,B2t30min
2.16,0.025,B2t30min
2.16333,0.025,B2t30min
2.16667,0.025,B2t30min
2.17,0.025,B2t30min
2.17333,0.025,B2t30min
2.17667,0.025,B2t30min
2.18,0.025,B2t30min
2.18333,0.025,B2t30min
2.18667,0.025,B2t30min
2.19,0.025,B2t30min
2.19333,0.025,B2t30min
2.19667,0.026,B2t30min
2.2,0.026,B2t30min
2.20333,0.026,B2t30min
2.20667,0.026,B2t30min
2.21,0.026,B2t30min
2.21333,0.026,B2t30min
2.21667,0.026,B2t30min
2.22,0.026,B2t30min
2.22333,0.026,B2t30min
2.22667,0.026,B2t30min
2.23,0.026,B2t30min
2.23333,0.026,B2t30min
2.23667,0.026,B2t30min
2.24,0.026,B2t30min
2.24333,0.026,B2t30min
2.24667,0.026,B2t30min
2.25,0.026,B2t30min
2.25333,0.026,B2t30min
2.25667,0.026,B2t30min
2.26,0.026,B2t30min
2.26333,0.026,B2t30min
2.26667,0.026,B2t30min
2.27,0.027,B2t30min
2.27333,0.027,B2t30min
2.27667,0.027,B2t30min
2.28,0.027,B2t30min
2.28333,0.028,B2t30min
2.28667,0.028,B2t30min
2.29,0.028,B2t30min
2.29333,0.028,B2t30min
2.29667,0.029,B2t30min
2.3,0.031,B2t30min
2.30333,0.031,B2t30min
2.30667,0.032,B2t30min
2.31,0.032,B2t30min
2.31333,0.033,B2t30min
2.31667,0.033,B2t30min
2.32,0.033,B2t30min
2.32333,0.035,B2t30min
2.32667,0.035,B2t30min
2.33,0.035,B2t30min
2.33333,0.037,B2t30min
2.33667,0.038,B2t30min
2.34,0.039,B2t30min
2.34333,0.041,B2t30min
2.34667,0.043,B2t30min
2.35,0.045,B2t30min
2.35333,0.047,B2t30min
2.35667,0.05,B2t30min
2.36,0.054,B2t30min
2.36333,0.059,B2t30min
2.36667,0.064,B2t30min
2.37,0.071,B2t30min
2.37333,0.079,B2t30min
2.37667,0.089,B2t30min
2.38,0.099,B2t30min
2.38333,0.111,B2t30min
2.38667,0.124,B2t30min
2.39,0.138,B2t30min
2.39333,0.154,B2t30min
2.39667,0.171,B2t30min
2.4,0.189,B2t30min
2.40333,0.211,B2t30min
2.40667,0.233,B2t30min
2.41,0.257,B2t30min
2.41333,0.282,B2t30min
2.41667,0.309,B2t30min
2.42,0.337,B2t30min
2.42333,0.365,B2t30min
2.42667,0.395,B2t30min
2.43,0.425,B2t30min
2.43333,0.455,B2t30min
2.43667,0.486,B2t30min
2.44,0.517,B2t30min
2.44333,0.549,B2t30min
2.44667,0.582,B2t30min
2.45,0.613,B2t30min
2.45333,0.645,B2t30min
2.45667,0.676,B2t30min
2.46,0.707,B2t30min
2.46333,0.737,B2t30min
2.46667,0.767,B2t30min
2.47,0.797,B2t30min
2.47333,0.825,B2t30min
2.47667,0.852,B2t30min
2.48,0.878,B2t30min
2.48333,0.904,B2t30min
2.48667,0.928,B2t30min
2.49,0.952,B2t30min
2.49333,0.974,B2t30min
2.49667,0.994,B2t30min
2.5,1.013,B2t30min
2.50333,1.031,B2t30min
2.50667,1.049,B2t30min
2.51,1.067,B2t30min
2.51333,1.083,B2t30min
2.51667,1.097,B2t30min
2.52,1.109,B2t30min
2.52333,1.119,B2t30min
2.52667,1.129,B2t30min
2.53,1.139,B2t30min
2.53333,1.147,B2t30min
2.53667,1.154,B2t30min
